mes,dia,hora,Ir_total,Ir_difusa,Temperatura
1,1,8,38,27,3.64
1,1,9,131,102,4.43
1,1,10,172,154,5.94
1,1,11,230,200,7.36
1,1,12,399,168,8.5
1,1,13,445,65,9.5
1,1,14,374,49,10.02
1,1,15,243,50,10.19
1,1,16,88,31,9.86
1,2,8,41,27,0.95
1,2,9,191,69,2.07
1,2,10,337,65,5.47
1,2,11,443,41,7.58
1,2,12,483,35,8.84
1,2,13,408,128,9.36
1,2,14,360,79,9.57
1,2,15,236,65,9.69
1,2,16,83,39,9.13
1,3,8,50,20,0.15
1,3,9,203,51,1.99
1,3,10,334,72,5.97
1,3,11,426,78,7.69
1,3,12,465,76,8.9
1,3,13,439,83,9.75
1,3,14,356,89,10.23
1,3,15,242,62,10.29
1,3,16,92,32,9.89
1,4,8,50,20,-0.86
1,4,9,206,48,1.15
1,4,10,336,68,4.43
1,4,11,432,70,6.84
1,4,12,469,71,8.57
1,4,13,446,75,9.88
1,4,14,365,80,10.66
1,4,15,247,58,10.89
1,4,16,95,32,10.24
1,5,8,50,20,0.03
1,5,9,206,48,1.44
1,5,10,339,65,4.65
1,5,11,431,74,7.18
1,5,12,476,62,8.88
1,5,13,451,70,10.05
1,5,14,369,76,10.76
1,5,15,248,60,10.9
1,5,16,98,32,9.89
1,6,8,50,20,-1.13
1,6,9,206,50,1.16
1,6,10,338,69,4.46
1,6,11,432,74,7.05
1,6,12,478,62,8.67
1,6,13,451,75,9.89
1,6,14,370,80,10.67
1,6,15,248,65,10.86
1,6,16,98,36,10
1,7,8,30,26,-1.95
1,7,9,100,92,-0.09
1,7,10,117,116,2.79
1,7,11,142,141,5.17
1,7,12,144,144,6.93
1,7,13,117,117,8.15
1,7,14,83,83,8.76
1,7,15,96,94,8.86
1,7,16,53,49,8.07
1,8,8,24,23,0.07
1,8,9,75,74,0.76
1,8,10,64,64,1.9
1,8,11,79,79,3.13
1,8,12,94,94,4.71
1,8,13,98,98,6
1,8,14,82,82,6.87
