Latitude (decimal degrees): 40.430
Longitude (decimal degrees): -3.706
Elevation (m): 685.0
month,year
1,2013
2,2010
3,2008
4,2007
5,2020
6,2008
7,2012
8,2007
9,2015
10,2012
11,2018
12,2017
time(UTC),T2m,RH,G(h),Gb(n),Gd(h),IR(h),WS10m,WD10m,SP
20130101:0000,5.14,87.47,0.0,-0.0,0.0,307.53,2.39,222.0,94168.0
20130101:0100,4.69,89.14,0.0,-0.0,0.0,307.93,2.2,225.0,94095.0
20130101:0200,4.23,90.81,0.0,-0.0,0.0,308.34,2.02,230.0,94058.0
20130101:0300,3.78,92.47,0.0,-0.0,0.0,308.74,1.84,235.0,94021.0
20130101:0400,3.32,94.14,0.0,-0.0,0.0,309.14,1.65,239.0,94012.0
20130101:0500,2.86,95.81,0.0,-0.0,0.0,309.55,1.47,238.0,94002.0
20130101:0600,2.41,97.47,0.0,-0.0,0.0,309.95,1.29,238.0,94021.0
20130101:0700,1.95,99.14,0.0,-0.0,0.0,310.36,1.1,233.0,94049.0
20130101:0800,3.64,94.3,38.0,145.82,27.0,316.2,1.24,237.0,94067.0
20130101:0900,4.43,92.75,131.0,129.27,102.0,300.0,0.97,248.0,94141.0
20130101:1000,5.94,86.45,172.0,52.83,154.0,315.0,1.17,255.0,94224.0
20130101:1100,7.36,77.6,230.0,72.02,200.0,297.2,1.52,273.0,94224.0
20130101:1200,8.5,68.3,399.0,517.1,168.0,277.4,1.93,304.0,94187.0
20130101:1300,9.5,59.45,445.0,885.38,65.0,295.8,2.07,314.0,94113.0
20130101:1400,10.02,54.6,374.0,890.06,49.0,302.4,1.79,324.0,94058.0
20130101:1500,10.19,53.1,243.0,745.37,50.0,308.4,1.52,329.0,94104.0
20130101:1600,9.86,55.4,88.0,483.88,31.0,279.2,1.03,327.0,94104.0
20130101:1700,8.54,69.4,0.0,-0.0,0.0,290.4,0.97,287.0,94150.0
20130101:1800,6.98,73.9,0.0,-0.0,0.0,287.4,1.31,268.0,94196.0
20130101:1900,6.01,73.5,0.0,-0.0,0.0,295.2,1.59,247.0,94214.0
20130101:2000,4.68,79.3,0.0,-0.0,0.0,263.0,1.66,257.0,94260.0
20130101:2100,3.38,85.1,0.0,-0.0,0.0,253.6,1.59,265.0,94307.0
20130101:2200,2.53,88.4,0.0,-0.0,0.0,259.0,1.45,278.0,94399.0
